product_slug,churn_category_month,total_active_users,total_churned_users,user_ccr_monthly_percentage,total_active_products,total_churned_products,product_ccr_monthly_percentage
wp-domains,2015-01-01,767531,14137,1.841880002,1891771,28403,1.501397368
wp-bundles,2015-01-01,250556,8192,3.269528568,267697,8363,3.124054435
wp-custom-css,2015-01-01,98576,4594,4.660363577,104074,4630,4.448757615
wp-no-ads,2015-01-01,32781,1744,5.320154968,35452,1770,4.99266614
wp-space-upgrade,2015-01-01,29410,1492,5.073104386,31241,1518,4.858999392
ak-pro-blogger-month,2015-01-01,27298,1090,3.992966518,27318,1099,4.022988506
wp-videopress,2015-01-01,12761,982,7.695321683,13298,999,7.512407881
wp-premium-theme,2015-01-01,106649,724,0.6788624366,123114,816,0.6628003314
ak-blog-spam-filteri,2015-01-01,45592,682,1.49587647,45713,695,1.52035526
ak-pro-blogger-yearl,2015-01-01,31553,664,2.104395779,31590,669,2.117758784
wp-offsite-redirect,2015-01-01,15025,501,3.334442596,15632,513,3.281729785
vp-lite,2015-01-01,5682,303,5.332629356,7631,382,5.005896999
pd-pro,2015-01-01,3150,161,5.111111111,3174,162,5.103969754
vp-basic,2015-01-01,3564,155,4.349046016,4157,158,3.800817898
dops-ak-vp-lite,2015-01-01,1850,141,7.621621622,1867,148,7.927155865
ak-unlimited-monthly,2015-01-01,1207,48,3.976801988,1208,49,4.056291391
vp-premium,2015-01-01,751,46,6.125166445,879,53,6.029579067
pd-pwyw,2015-01-01,989,38,3.842264914,993,39,3.927492447
wp-support,2015-01-01,138,37,26.8115942,142,38,26.76056338
wp-gapps,2015-01-01,437,20,4.576659039,470,22,4.680851064
dops-ak-vp-prem,2015-01-01,274,17,6.204379562,295,30,10.16949153
pd-corporate,2015-01-01,287,17,5.923344948,284,17,5.985915493
wp-guided-transfer,2015-01-01,3953,15,0.379458639,4032,15,0.3720238095
ak-unlimited-yearly,2015-01-01,704,13,1.846590909,707,13,1.838755304
ak-enterprise-monthl,2015-01-01,152,5,3.289473684,153,5,3.267973856
akismet-np,2015-01-01,12,4,33.33333333,72,4,5.555555556
ak-pay-what-you-want,2015-01-01,26,2,7.692307692,27,3,11.11111111
ak-enterprise-yearly,2015-01-01,56,2,3.571428571,56,2,3.571428571
akismet-pbm,2015-01-01,42,2,4.761904762,42,2,4.761904762
sd-pro,2015-01-01,36,2,5.555555556,36,2,5.555555556
ak-custom-plan-godad,2015-01-01,2,1,50,9,1,11.11111111
wp-press-publish,2015-01-01,1,0,0,1,0,0
ak-custom-plan-dj,2015-01-01,1,0,0,1,0,0
ak-lithium-vip-month,2015-01-01,1,0,0,1,0,0
legal-charges,2015-01-01,1,0,0,17,0,0
wp-chargeback,2015-01-01,904,0,0,954,0,0
journal-entry,2015-01-01,0,0,NaN,0,0,NaN
ak-custom-plan-ea,2015-01-01,1,0,0,1,0,0
storefront-extension,2015-01-01,456,0,0,796,0,0
jetpack-backup-daily,2015-01-01,1,0,0,1,0,0
extensions,2015-01-01,100005,0,0,233332,0,0
akismet-ey,2015-01-01,8,0,0,8,0,0
retired-products,2015-01-01,71,0,0,96,0,0
ak-high-volume-month,2015-01-01,1,0,0,1,0,0
ak-custom-plan-vimeo,2015-01-01,0,0,NaN,0,0,NaN
pd-pro-npo,2015-01-01,19,0,0,19,0,0
vp-security_bundle,2015-01-01,0,0,NaN,0,0,NaN
ak-custom-plan-18m-p,2015-01-01,1,0,0,1,0,0
ak-vip-yearly,2015-01-01,0,0,NaN,0,0,NaN
wp-text-messaging,2015-01-01,33,0,0,33,0,0
ak-reconcilation,2015-01-01,1,0,0,1,0,0
4145-vip-services,2015-01-01,3,0,0,3,0,0
ak-access-api-monthl,2015-01-01,73,0,0,76,0,0
pd-corporate-npo,2015-01-01,1,0,0,1,0,0
theme-club,2015-01-01,2550,0,0,6563,0,0
4160-firehose-servic,2015-01-01,0,0,NaN,0,0,NaN
hosting,2015-01-01,8,0,0,15,0,0
jetpack-security-rea,2015-01-01,1,0,0,1,0,0
akismet-am,2015-01-01,12,0,0,12,0,0
ak-about-com-monthly,2015-01-01,1,0,0,1,0,0
wp-unlimited-private,2015-01-01,1,0,0,1,0,0
jetpack-scan,2015-01-01,1,0,0,1,0,0
test,2015-01-01,1,0,0,1,0,0
vp-sub,2015-01-01,0,0,NaN,0,0,NaN
core,2015-01-01,4329,0,0,4469,0,0
sd-corporate,2015-01-01,0,0,NaN,0,0,NaN
ak-backdate-billing,2015-01-01,3,0,0,3,0,0
akismet-pby,2015-01-01,52,0,0,52,0,0
vp-backup_bundle,2015-01-01,1,0,0,1,0,0
ak-enterprise-new-mo,2015-01-01,0,0,NaN,0,0,NaN
jetpack-backup-realt,2015-01-01,1,0,0,1,0,0
jetpack-search,2015-01-01,1,0,0,1,0,0
pd-enterprise,2015-01-01,9,0,0,10,0,0
wp-cancellation,2015-01-01,677,0,0,738,0,0
jetpack-complete,2015-01-01,1,0,0,1,0,0
all-themes-package,2015-01-01,4896,0,0,4935,0,0
vp-codepoet,2015-01-01,0,0,NaN,0,0,NaN
4140-hosting-,2015-01-01,1,0,0,1,0,0
jetpack-security-dai,2015-01-01,1,0,0,1,0,0
ak-enterprise-vip-an,2015-01-01,4,0,0,4,0,0
ak-disqus-api-access,2015-01-01,1,0,0,1,0,0
vp-enterprise,2015-01-01,0,0,NaN,0,0,NaN
themes,2015-01-01,159186,0,0,242556,0,0
4120-support,2015-01-01,5,0,0,10,0,0
wp-credits,2015-01-01,7688,0,0,8429,0,0
support,2015-01-01,0,0,NaN,0,0,NaN
wp-gift,2015-01-01,586,0,0,598,0,0
wp-wpcom-credits,2015-01-01,23,0,0,24,0,0
ak-zendesk-monthly,2015-01-01,1,0,0,1,0,0
akismet-donation,2015-01-01,0,0,NaN,0,0,NaN
ak-custom-plan-pepsi,2015-01-01,0,0,NaN,0,0,NaN
akismet-em,2015-01-01,11,0,0,11,0,0
4140-hosting,2015-01-01,14,0,0,24,0,0
wp-tip-jar,2015-01-01,1,0,0,2,0,0
jetpack-anti-spam,2015-01-01,1,0,0,1,0,0
wp-domains,2015-02-01,783767,12583,1.60545162,1936554,26493,1.368048606
wp-bundles,2015-02-01,262692,8258,3.143605439,281356,8467,3.009354697
wp-custom-css,2015-02-01,95491,4506,4.718769308,100783,4537,4.501751287
wp-no-ads,2015-02-01,32613,1640,5.028669549,35298,1664,4.71414811
wp-space-upgrade,2015-02-01,29148,1534,5.262796761,30965,1553,5.0153399
ak-pro-blogger-month,2015-02-01,26970,1079,4.000741565,26998,1097,4.063263945
wp-videopress,2015-02-01,12750,1030,8.078431373,13285,1044,7.858487015
wp-premium-theme,2015-02-01,109727,706,0.6434150209,126713,779,0.6147751217
